"Drug_Name_Norm","Drug_Name","mean_fc","median_fc","max_abs_fc","min_p_value","min_q_value","n_tests","n_sources","sources","score","direction"
"brd-a36275421","BRD-A36275421",0.626895727272727,1.01398,1.67942,3.21472e-11,3.30367e-09,11,1,"LINCS L1000",12.5785152942633,"Upregula NQO1"
"pf-562271","PF-562271",-1.5070364,-1.2728,2.35781,2.58646e-10,3.38397e-09,10,1,"LINCS L1000",19.9720028940814,"Downregula NQO1"
"tyrphostin-ag-18","tyrphostin-AG-18",1.94375,1.94375,1.94375,2.34747e-11,5.74433e-09,1,1,"LINCS L1000",16.0179784526372,"Upregula NQO1"
"md-ii-051","MD-II-051",-0.086015,-0.0118849999999999,2.71552,9.82886e-11,6.82803e-09,4,1,"LINCS L1000",19.5587405797486,"Downregula NQO1"
"brd-k54687541","BRD-K54687541",-2.44612,-2.44612,3.60469,7.89404e-11,7.4485e-09,2,1,"LINCS L1000",29.2986722376563,"Downregula NQO1"
"bms-345541","BMS-345541",-0.809754571428571,-0.875671,1.89562,9.98918e-11,8.82694e-09,7,1,"LINCS L1000",13.5080039238788,"Downregula NQO1"
"brd-k73610817","BRD-K73610817",1.9226665,1.9226665,2.90369,2.32168e-10,9.00681e-09,2,1,"LINCS L1000",23.3614317291378,"Upregula NQO1"
"chaetocin","chaetocin",1.41904875,1.769445,2.407,1.53912e-10,9.13951e-09,8,1,"LINCS L1000",18.6218789473419,"Upregula NQO1"
"calpeptin","calpeptin",-1.70922,-1.70922,1.70922,2.19296e-11,9.21376e-09,1,1,"LINCS L1000",13.734545169367,"Downregula NQO1"
"brd-k56593336","BRD-K56593336",2.91354,2.91354,3.57712,8.53993e-12,9.50836e-09,2,1,"LINCS L1000",28.6952788375609,"Upregula NQO1"
"cephaeline","cephaeline",0.26496,0.26496,2.16326,1.1527e-09,9.86974e-09,2,2,"CMAP; LINCS L1000",17.3183982251615,"Upregula NQO1"
"cd-437","CD-437",-1.287932,-1.35836,2.19352,1.2385e-09,1.06113e-08,5,1,"LINCS L1000",17.4916360759437,"Downregula NQO1"
"nvp-auy922","NVP-AUY922",-1.2947072,-1.32689,1.94663,6.68262e-10,1.2526e-08,5,1,"LINCS L1000",13.2672198149022,"Downregula NQO1"
"sulforaphane","sulforaphane",1.65694125,1.55872,2.60349,2.16033e-11,1.33628e-08,16,2,"CREEDS; LINCS L1000",12.8123983113581,"Upregula NQO1"
"geldanamycin","geldanamycin",-0.274934352941176,-0.791775,1.96502,1.12953e-10,1.4709e-08,51,2,"CMAP; LINCS L1000",12.9469178173466,"Downregula NQO1"
"puromycin","puromycin",-1.567814,-1.43906,2.44543,1.25186e-10,1.64949e-08,3,1,"LINCS L1000",19.0319265549495,"Downregula NQO1"
"brd-k77547920","BRD-K77547920",1.923372,1.50358,3.45201,1.74636e-10,1.69816e-08,3,1,"LINCS L1000",26.8221915491973,"Upregula NQO1"
"dactinomycin","dactinomycin",-1.94369,-1.70453,3.22331,6.24931e-10,1.75264e-08,4,1,"LINCS L1000",25.0009828211185,"Downregula NQO1"
"tanespimycin","tanespimycin",-0.6440754375,-0.7198885,2.62937,3.25841e-09,1.77954e-08,16,2,"CMAP; LINCS L1000",7.73735407751319,"Downregula NQO1"
"digoxin","digoxin",-1.69676857142857,-1.664015,2.845,1.15614e-09,2.04812e-08,14,1,"LINCS L1000",18.0513997954003,"Downregula NQO1"
"imatinib","Imatinib",-1.1792784,-1.12745,1.54876,2.18689e-10,2.18921e-08,10,2,"CREEDS; LINCS L1000",11.03010682108,"Downregula NQO1"
"brd-k95196255","BRD-K95196255",2.45755,2.45755,2.45755,7.40914e-10,2.26319e-08,1,1,"LINCS L1000",18.7886553683462,"Upregula NQO1"
"f-1566-0341","F-1566-0341",1.65954333333333,1.72347,2.98011,2.25075e-10,2.40304e-08,9,1,"LINCS L1000",21.4670534978648,"Upregula NQO1"
"brd-k56411643","BRD-K56411643",0.676000142857143,1.13506,2.05979,5.36119e-10,2.52395e-08,7,1,"LINCS L1000",15.6501180977478,"Upregula NQO1"
"brd-k26304855","BRD-K26304855",-1.59821,-1.59821,2.04844,4.35643e-09,2.73034e-08,2,1,"LINCS L1000",15.4939561982591,"Downregula NQO1"
"cinobufagin","cinobufagin",-2.003185,-2.003185,2.28131,1.16179e-09,2.98051e-08,2,1,"LINCS L1000",17.1684761494516,"Downregula NQO1"
"brd-k73261812","BRD-K73261812",1.46867,1.46867,1.92422,2.22789e-10,2.98859e-08,2,1,"LINCS L1000",14.4788581612786,"Upregula NQO1"
"md-049","MD-049",1.578126,1.87362,3.00884,1.19893e-10,3.2087e-08,5,1,"LINCS L1000",20.1818794927124,"Upregula NQO1"
"brd-k42455570","BRD-K42455570",3.01109,3.01109,4.22358,1.53089e-11,3.409e-08,2,1,"LINCS L1000",31.5390472501497,"Upregula NQO1"
"brd-k79222491","BRD-K79222491",-1.98276,-1.98276,1.98276,7.47884e-09,3.50977e-08,1,1,"LINCS L1000",14.7809232890743,"Downregula NQO1"
"pyrvinium-pamoate","pyrvinium-pamoate",-1.393958875,-1.35022,1.91367,4.80592e-09,3.5828e-08,8,1,"LINCS L1000",11.8869973131434,"Downregula NQO1"
"brd-k01834163","BRD-K01834163",3.39641,3.39641,3.39641,2.49285e-11,3.70072e-08,1,1,"LINCS L1000",25.2411469750621,"Upregula NQO1"
"menadione","menadione",0.1792462,-0.643349,3.31811,1.39159e-11,3.87349e-08,5,1,"LINCS L1000",24.5934914157736,"Downregula NQO1"
"fludarabine","fludarabine",-1.6980378,-1.27736,2.83063,3.67521e-09,4.41422e-08,5,1,"LINCS L1000",20.8196969951881,"Downregula NQO1"
"zm-336372","ZM-336372",-1.19207866666667,-1.01291,1.83559,7.07884e-11,4.63622e-08,3,1,"LINCS L1000",7.42851578617579,"Downregula NQO1"
"iodoacetic-acid","iodoacetic-acid",1.88976,1.88976,2.74159,7.0173e-11,4.88317e-08,2,1,"LINCS L1000",20.0445819119549,"Upregula NQO1"
