"Drug_Name_Norm","Drug_Name","mean_fc","median_fc","max_abs_fc","min_p_value","min_q_value","n_tests","n_sources","sources","score","direction"
"brd-k55722623","BRD-K55722623",2.1941,2.1941,2.33417,1.74277e-09,2.98523e-06,2,1,"LINCS L1000",12.8963410746366,"Upregula NQO1"
"resveratrol","resveratrol",-0.0323015,-0.0323015,1.01237,1.29805e-07,3.06125e-06,2,2,"CREEDS; LINCS L1000",5.2260831537901,"Downregula NQO1"
"brd-k32896438","BRD-K32896438",-2.0495,-2.0495,2.0495,1.6544e-07,3.34606e-06,1,1,"LINCS L1000",11.2219681321211,"Downregula NQO1"
"brd-k52904470","BRD-K52904470",-1.22532,-1.22532,1.22532,2.95105e-08,3.35873e-06,1,1,"LINCS L1000",6.70718713457318,"Downregula NQO1"
"oxiconazole","oxiconazole",1.38603,1.38603,1.38603,2.70092e-08,3.70217e-06,1,1,"LINCS L1000",7.52828243516131,"Upregula NQO1"
"neratinib","neratinib",0.820326142857143,0.88508,2.11646,1.10512e-07,3.74563e-06,7,1,"LINCS L1000",11.4849175435319,"Upregula NQO1"
"estradiol","Estradiol",-0.0688995714285714,-0.3678675,1.18277,4.17479e-08,3.911e-06,14,2,"CREEDS; LINCS L1000",3.39929328660467,"Downregula NQO1"
"st-4029573","ST-4029573",0.582504,1.33673,2.25958,6.02173e-08,4.05112e-06,5,1,"LINCS L1000",11.0957230794329,"Upregula NQO1"
"bms-536924","BMS-536924",0.501511571428571,1.00979,1.55586,9.00054e-07,4.11548e-06,7,1,"LINCS L1000",8.3792077278892,"Upregula NQO1"
"brd-k88198340","BRD-K88198340",1.5641175,1.435985,2.23766,1.52859e-08,4.25482e-06,4,1,"LINCS L1000",12.0187377119148,"Upregula NQO1"
"z-leu3-vs","z-leu3-VS",-2.72175,-2.72175,2.72175,4.96997e-07,4.45178e-06,1,1,"LINCS L1000",14.5653534182483,"Downregula NQO1"
"gossypol","gossypol",-0.734206333333333,-1.32292,1.72843,1.04813e-06,4.50054e-06,3,1,"LINCS L1000",7.07330316098994,"Downregula NQO1"
"mln-8054","MLN-8054",-2.16631,-1.52982,3.91698,8.8029e-09,4.55868e-06,3,1,"LINCS L1000",20.921220392151,"Downregula NQO1"
"xanthohumol","xanthohumol",2.36112,2.36112,2.36112,1.32419e-07,4.62904e-06,1,1,"LINCS L1000",12.5954160469025,"Upregula NQO1"
"digitoxigenin","digitoxigenin",-2.08736,-2.08736,2.08736,1.96206e-07,4.80651e-06,1,1,"LINCS L1000",11.1009356438787,"Downregula NQO1"
"idarubicin","idarubicin",-1.63343925,-1.53999,2.5527,3.44375e-07,4.84026e-06,4,1,"LINCS L1000",12.7344176019651,"Downregula NQO1"
"ei-346-erlotinib-analog","EI-346-erlotinib-analog",-1.41555666666667,-1.7089,3.37347,2.2367e-07,4.8592e-06,3,1,"LINCS L1000",17.9247143299172,"Downregula NQO1"
"selamectin","selamectin",-1.44843,-1.44843,1.44843,2.73123e-07,4.94464e-06,1,1,"LINCS L1000",7.68517450864474,"Downregula NQO1"
"dabrafenib","dabrafenib",-1.28599366666667,-1.35523,1.8407,1.21446e-07,5.06458e-06,3,1,"LINCS L1000",9.74734689803573,"Downregula NQO1"
"md-041","MD-041",-1.736228,-1.68624,2.6607,7.36274e-08,5.18425e-06,5,1,"LINCS L1000",12.7221683407853,"Downregula NQO1"
"emetine","emetine",-1.14263583333333,-1.123715,2.29913,4.74963e-07,5.24251e-06,12,1,"LINCS L1000",11.3164434635713,"Downregula NQO1"
"sid-26681509","SID-26681509",1.26227525,1.26605,1.79443,5.73178e-08,5.43128e-06,8,1,"LINCS L1000",7.97914087837308,"Upregula NQO1"
"brd-k78062244","BRD-K78062244",1.1270678,1.37427,2.31442,1.06885e-08,5.66695e-06,5,1,"LINCS L1000",12.1429531259966,"Upregula NQO1"
"parbendazole","parbendazole",-1.03274571428571,-0.943784,1.86349,5.67593e-07,5.75816e-06,7,1,"LINCS L1000",7.84602168822448,"Downregula NQO1"
"tozasertib","tozasertib",0.5233373,1.458335,2.37501,5.39376e-08,5.85893e-06,10,1,"LINCS L1000",11.7550959926124,"Upregula NQO1"
"i-070759","I-070759",-1.49904,-1.49904,1.77732,1.77369e-07,5.95724e-06,2,1,"LINCS L1000",9.28641684833844,"Downregula NQO1"
"ku-0063794","KU-0063794",-1.0484525,-1.048825,1.07326,3.8005e-07,6.00635e-06,4,1,"LINCS L1000",5.43614510889343,"Downregula NQO1"
"thz-2-98-01","THZ-2-98-01",0.608602,1.38356,1.93961,2.65706e-08,6.05231e-06,5,1,"LINCS L1000",10.1210378900599,"Upregula NQO1"
"brd-k60870698","BRD-K60870698",0.982306,1.24101,2.56596,5.1772e-07,6.19151e-06,5,1,"LINCS L1000",13.3640416509291,"Upregula NQO1"
"calyculin","calyculin",-1.19435233333333,-1.03761,1.97764,3.98225e-07,6.32953e-06,3,1,"LINCS L1000",10.2810157406515,"Downregula NQO1"
"tubacin","tubacin",1.6001565,1.6001565,2.21245,1.01818e-07,6.41767e-06,2,1,"LINCS L1000",11.4884179119006,"Upregula NQO1"
"brd-k23582869","BRD-K23582869",1.3346592,1.17644,2.12389,4.09305e-07,6.42631e-06,5,1,"LINCS L1000",11.0273182850175,"Upregula NQO1"
"as-601245","AS-601245",-0.7215228,-0.991773,1.87877,7.72094e-07,6.65363e-06,10,1,"LINCS L1000",8.14420882887466,"Downregula NQO1"
"vorinostat","vorinostat",0.246872597014925,0.744295,2.54172,2.00148e-06,6.83049e-06,67,1,"LINCS L1000",9.12570098810323,"Upregula NQO1"
"lestaurtinib","lestaurtinib",-1.2998,-1.2564,1.82006,5.36539e-07,6.88625e-06,4,1,"LINCS L1000",5.73463978423627,"Downregula NQO1"
"brd-k30381304","BRD-K30381304",0.09273,0.09273,1.67857,1.19429e-07,7.16832e-06,2,1,"LINCS L1000",7.68142774922656,"Upregula NQO1"
"as-605240","AS-605240",0.1064722,0.985571,1.59436,1.40549e-06,7.3566e-06,5,1,"LINCS L1000",8.18436463058164,"Upregula NQO1"
"bibr-1532","BIBR-1532",0.0277288,-0.873098,2.44362,2.8733e-08,7.99784e-06,5,1,"LINCS L1000",6.97329357714317,"Downregula NQO1"
"jak3-inhibitor-vi","JAK3-inhibitor-VI",-0.955966666666667,-1.24101,1.71217,1.45216e-06,8.31064e-06,6,1,"LINCS L1000",8.25869300927969,"Downregula NQO1"
"brd-a49848186","BRD-A49848186",1.74109,1.65412,2.20491,2.63528e-07,8.57533e-06,4,1,"LINCS L1000",8.84705070519088,"Upregula NQO1"
"az-628","AZ-628",-0.681147,-0.681147,0.706548,1.08702e-07,8.88054e-06,2,1,"LINCS L1000",3.56917005663133,"Downregula NQO1"
"brd-k74840245","BRD-K74840245",-1.02944,-1.02944,1.02944,9.67094e-08,9.70056e-06,1,1,"LINCS L1000",5.16079189581142,"Downregula NQO1"
"k784-3131","K784-3131",0.9742548,1.02003,2.8107,1.90139e-08,1.00284e-05,5,1,"LINCS L1000",14.0500382063627,"Upregula NQO1"
"puromycin, ec50, 1 d","Puromycin, ec50, 1 d",-0.261914,-0.261914,0.261914,1.36133e-06,1.01085e-05,1,1,"CREEDS",1.30834248361555,"Downregula NQO1"
"ku-0060648","KU-0060648",-0.161761714285714,-0.563373,1.88186,2.0671e-07,1.05092e-05,7,1,"LINCS L1000",9.36870892499551,"Downregula NQO1"
"ldn-193189","LDN-193189",-0.6824874,-0.983377,1.54106,1.33495e-06,1.05115e-05,5,1,"LINCS L1000",7.15170488879386,"Downregula NQO1"
"pd-0325901","PD-0325901",0.151165,0.151165,1.95752,6.67458e-08,1.12598e-05,2,1,"LINCS L1000",9.68672767011255,"Upregula NQO1"
"ro-28-1675","RO-28-1675",0.141375571428571,0.700403,1.31915,1.91622e-06,1.19025e-05,7,1,"LINCS L1000",6.49597188146818,"Upregula NQO1"
"proscillaridin-a","proscillaridin-a",-1.90096,-1.90096,1.90096,2.22693e-06,1.19262e-05,1,1,"LINCS L1000",9.3593725906001,"Downregula NQO1"
"brd-a81282034","BRD-A81282034",1.98623,1.83712,2.70681,5.42346e-09,1.2077e-05,3,1,"LINCS L1000",13.3122023797472,"Upregula NQO1"
"bay-11-7821","BAY-11-7821",0.880792333333333,1.11206,2.36038,1.38571e-07,1.21007e-05,3,1,"LINCS L1000",11.6064357660215,"Upregula NQO1"
"tg-101348","TG-101348",-0.475592428571429,-0.799994,1.70648,2.42327e-06,1.21153e-05,7,1,"LINCS L1000",7.75402450967058,"Downregula NQO1"
"azd-1152hqpa","AZD-1152HQPA",-2.250515,-2.250515,3.22896,1.50263e-07,1.22119e-05,2,1,"LINCS L1000",15.8645803915678,"Downregula NQO1"
"brd-k70714754","BRD-K70714754",-1.10069,-1.10069,1.10069,1.46754e-07,1.2473e-05,1,1,"LINCS L1000",5.3978157654855,"Downregula NQO1"
"brd-k54343811","BRD-K54343811",2.19845,2.27596,2.69697,4.42308e-07,1.30627e-05,3,1,"LINCS L1000",13.1719126070466,"Upregula NQO1"
"broad-sai-595","Broad-Sai-595",2.66734333333333,2.43517,3.33377,6.2939e-07,1.31352e-05,3,1,"LINCS L1000",16.2740093164651,"Upregula NQO1"
"l-690488","L-690488",-1.0913125,-1.12951,1.26226,8.29249e-07,1.32181e-05,4,1,"LINCS L1000",6.04535945102224,"Downregula NQO1"
"vama-37","VAMA-37",-1.30949,-1.30949,1.30949,2.75225e-08,1.39289e-05,1,1,"LINCS L1000",6.35899236277726,"Downregula NQO1"
"isox","ISOX",-0.296854,-0.835939,1.60388,2.88616e-06,1.59477e-05,5,1,"LINCS L1000",6.47859367126539,"Downregula NQO1"
"vincristine","vincristine",-1.14438414285714,-1.25475,2.5087,6.38676e-08,1.59798e-05,7,1,"LINCS L1000",12.0328005806751,"Downregula NQO1"
"brd-k88742110","BRD-K88742110",1.40592875,1.160527,2.6736,5.79657e-07,1.60183e-05,8,1,"LINCS L1000",12.8209375311416,"Upregula NQO1"
"necrostatin-1","necrostatin-1",1.4237515,1.348075,2.22495,2.46683e-08,1.66459e-05,4,1,"LINCS L1000",10.6323523645004,"Upregula NQO1"
"wz-4-145","WZ-4-145",2.02797,2.02797,2.02797,9.3618e-07,1.71016e-05,1,1,"LINCS L1000",9.66725847379946,"Upregula NQO1"
"brd-k85853281","BRD-K85853281",-1.14101366666667,-0.919589,1.67211,3.08356e-06,1.7192e-05,3,1,"LINCS L1000",7.9670583691435,"Downregula NQO1"
"thiazolopyrimidine","thiazolopyrimidine",1.35597075,1.3938575,1.86614,3.33357e-06,1.7708e-05,4,1,"LINCS L1000",8.86758094443763,"Upregula NQO1"
"brd-k31856043","BRD-K31856043",2.22423,2.22423,2.22423,1.2206e-07,1.77649e-05,1,1,"LINCS L1000",10.566065006411,"Upregula NQO1"
"bortezomib","bortezomib",0.199787142857143,0.761931,1.6125,3.20406e-06,1.80445e-05,7,1,"LINCS L1000",7.05649748489561,"Upregula NQO1"
"brd-k53610452","BRD-K53610452",-1.2047385,-1.2047385,1.61911,2.86874e-07,1.85729e-05,2,1,"LINCS L1000",7.66020415587825,"Downregula NQO1"
"bx-795","BX-795",0.2708825,0.2708825,1.5057,1.63642e-06,1.89593e-05,2,1,"LINCS L1000",7.11018296495721,"Upregula NQO1"
"y-27632","Y-27632",-1.106715,-1.106715,3.36163,1.58332e-07,1.91616e-05,2,1,"LINCS L1000",15.8587188890454,"Downregula NQO1"
"u0126","U0126",1.76798,1.76798,1.76798,4.96439e-07,1.96005e-05,1,1,"LINCS L1000",8.32317752386714,"Upregula NQO1"
"brd-a30083233","BRD-A30083233",1.54774333333333,1.59469,2.03236,2.14706e-06,1.96591e-05,3,1,"LINCS L1000",9.56517301725788,"Upregula NQO1"
"baccatin-iii","baccatin-III",-1.2295,-1.2295,1.2295,2.8596e-07,1.97144e-05,1,1,"LINCS L1000",5.78506360802653,"Downregula NQO1"
"merck60","Merck60",-0.7075958,-1.02454,1.27664,4.20531e-06,2.00565e-05,5,1,"LINCS L1000",5.99732898803407,"Downregula NQO1"
"cytochalasin-d","cytochalasin-d",-2.070235,-2.070235,2.44378,2.80867e-07,2.0506e-05,2,1,"LINCS L1000",8.08592740150144,"Downregula NQO1"
"lmp-420","Lmp-420",0.0306014,0.0306014,0.0306014,1.16288e-06,2.06961e-05,1,1,"CREEDS",0.143340369223094,"Upregula NQO1"
"niguldipine","niguldipine",1.44364225,1.54102,1.82904,2.9985e-07,2.10495e-05,4,1,"LINCS L1000",8.45080856066747,"Upregula NQO1"
"vu-0418933-1","VU-0418933-1",-1.46627133333333,-1.67528,1.79721,1.78386e-06,2.18258e-05,3,1,"LINCS L1000",7.8085300515215,"Downregula NQO1"
"azd-7762","AZD-7762",-1.17635316666667,-1.114385,1.69572,2.6183e-07,2.27063e-05,6,1,"LINCS L1000",5.96349253780581,"Downregula NQO1"
"wye-125132","WYE-125132",-1.1909785,-1.05956,2.3909,5.79765e-08,2.37349e-05,10,1,"LINCS L1000",11.0569862503095,"Downregula NQO1"
"anisomycin","anisomycin",-1.72696,-1.72696,1.72696,1.60396e-06,2.39214e-05,1,1,"LINCS L1000",7.98065070510075,"Downregula NQO1"
"brd-k13842623","BRD-K13842623",-2.03498,-2.03498,2.03498,1.19485e-06,2.42347e-05,1,1,"LINCS L1000",9.39257707510373,"Downregula NQO1"
"hypochlorous acid","Hypochlorous acid",0.0972921,0.0972921,0.0972921,2.23188e-06,2.55544e-05,1,1,"CREEDS",0.446817307490736,"Upregula NQO1"
"brd-k48576794","BRD-K48576794",2.21864,2.27532,2.32338,2.54436e-08,2.61157e-05,3,1,"LINCS L1000",10.648278995466,"Upregula NQO1"
"perhexiline","perhexiline",-0.0392525000000001,0.09801,2.50823,4.63167e-07,2.63107e-05,4,1,"LINCS L1000",9.87053064568531,"Upregula NQO1"
"akt-inhibitor-iv","AKT-inhibitor-IV",-0.2346912,-0.962736,1.86963,2.47817e-06,2.72036e-05,5,1,"LINCS L1000",7.45776077246615,"Downregula NQO1"
"vx","Vx",-0.134651,-0.134651,0.846891,7.07564e-08,2.74692e-05,2,1,"CREEDS",3.53809846632686,"Downregula NQO1"
"sa-792541","SA-792541",1.5090925,1.466455,1.86834,5.81238e-07,2.8076e-05,4,1,"LINCS L1000",8.50405734939388,"Upregula NQO1"
"brd-k97534490","BRD-K97534490",-1.80758,-1.80758,1.80758,1.29887e-07,3.01285e-05,1,1,"LINCS L1000",8.17210983228948,"Downregula NQO1"
"epitestosterone","epitestosterone",0.503038,0.503038,1.98536,2.61522e-07,3.11421e-05,2,1,"LINCS L1000",8.94732682332887,"Upregula NQO1"
"brd-a37735495","BRD-A37735495",1.78233,1.78233,2.55665,4.00036e-07,3.34887e-05,2,1,"LINCS L1000",11.4412687895262,"Upregula NQO1"
"sorafenib","sorafenib",-0.639574,-0.9450395,2.03083,4.10757e-06,3.38267e-05,8,1,"LINCS L1000",6.66039242555525,"Downregula NQO1"
"brd-k35832492","BRD-K35832492",1.311695,1.90101,2.53157,2.19855e-06,3.4573e-05,6,1,"LINCS L1000",11.2531342369075,"Upregula NQO1"
"brd-k01621458","BRD-K01621458",0.973701666666667,1.74659,2.47,2.08972e-06,3.45977e-05,6,1,"LINCS L1000",11.0185533454893,"Upregula NQO1"
"vu-0410183-2","VU-0410183-2",-1.30924,-1.341365,1.54847,4.22645e-06,3.63096e-05,4,1,"LINCS L1000",6.57995938990632,"Downregula NQO1"
"tw-37","TW-37",0.15143,1.15504,2.02198,3.47366e-06,3.80667e-05,3,1,"LINCS L1000",8.93604915689018,"Upregula NQO1"
"ingenol","ingenol",1.08687,0.960594,1.5468,1.4222e-07,3.8156e-05,3,1,"LINCS L1000",6.83443859890956,"Upregula NQO1"
"brd-a09719808","BRD-A09719808",1.76667,1.76667,1.76667,2.21721e-06,3.83627e-05,1,1,"LINCS L1000",7.8017751944174,"Upregula NQO1"
"biib021","BIIB021",-1.79074666666667,-1.86159,2.28081,2.84182e-06,3.87518e-05,3,1,"LINCS L1000",8.21279171901222,"Downregula NQO1"
"brd-k86899078","BRD-K86899078",1.34501,1.29572,1.73281,1.66472e-06,3.89389e-05,4,1,"LINCS L1000",7.64102725752986,"Upregula NQO1"
"kin001-242","KIN001-242",-1.35435,-1.35435,1.46508,6.3239e-08,3.91168e-05,2,1,"LINCS L1000",5.48142512853934,"Downregula NQO1"
"cvf-sumo-7","CVF-SUMO-7",1.83781,1.83781,1.83781,7.01869e-08,4.00749e-05,1,1,"LINCS L1000",8.08108498758978,"Upregula NQO1"
"brd-k19826688","BRD-K19826688",1.2836005,1.56251,2.45037,2.75613e-06,4.22326e-05,6,1,"LINCS L1000",10.7187813535772,"Upregula NQO1"
"gemcitabine","gemcitabine",-0.695493,-1.0155485,1.64319,6.13509e-06,4.24801e-05,4,1,"LINCS L1000",7.18372181826475,"Downregula NQO1"
"nilotinib","nilotinib",-0.662142,-1.170294,1.75571,1.57499e-07,4.40103e-05,4,2,"CREEDS; LINCS L1000",7.64865522906868,"Downregula NQO1"
"brd-k83816656","BRD-K83816656",1.541625,1.541625,2.10582,3.63113e-07,4.62046e-05,2,1,"LINCS L1000",9.1293925808741,"Upregula NQO1"
"brd-k83670234","BRD-K83670234",-1.4252255,-1.380675,2.00643,2.79593e-06,4.77819e-05,4,1,"LINCS L1000",8.66925550614565,"Downregula NQO1"
"brd-k33586157","BRD-K33586157",-1.72375,-1.72375,1.72375,8.22591e-07,4.82038e-05,1,1,"LINCS L1000",7.4412886507134,"Downregula NQO1"
"avicin-g","avicin-g",-0.30061,-1.449645,3.95723,1.40444e-06,4.84519e-05,4,1,"LINCS L1000",11.6770917638193,"Downregula NQO1"
"dg-041","DG-041",0.3673486,0.897507,1.80269,5.02275e-06,5.07241e-05,5,1,"LINCS L1000",4.41087370605057,"Upregula NQO1"
"diclofenac","Diclofenac",-0.6348685,-0.6348685,1.93239,9.368e-06,5.1249e-05,2,1,"CREEDS",8.29056103838406,"Downregula NQO1"
"fostamatinib","fostamatinib",0.779443666666667,1.20079,1.39236,5.63493e-06,5.13415e-05,6,1,"LINCS L1000",5.28753383355105,"Upregula NQO1"
"r1881","R1881",0.8970325,0.8970325,1.02568,6.07772e-07,5.26283e-05,2,1,"CREEDS",4.24108380153009,"Upregula NQO1"
"mebendazole","mebendazole",-1.87881,-1.87881,1.89451,3.04661e-07,5.42735e-05,2,1,"LINCS L1000",7.94693206926085,"Downregula NQO1"
"mitomycin-c","mitomycin-c",-2.253555,-2.253555,2.34604,3.64675e-06,5.4391e-05,2,1,"LINCS L1000",10.0046241347171,"Downregula NQO1"
"brd-k61053657","BRD-K61053657",-1.0632,-1.0632,1.0632,4.61014e-07,5.48797e-05,1,1,"LINCS L1000",4.52985745011692,"Downregula NQO1"
"cytarabine","cytarabine",0.66690025,0.8263535,1.36332,5.44702e-06,5.50871e-05,4,2,"CREEDS; LINCS L1000",2.73383710478235,"Upregula NQO1"
"st-056792","ST-056792",1.6760825,1.716785,2.04883,2.0646e-06,5.6899e-05,4,1,"LINCS L1000",7.74850465471722,"Upregula NQO1"
"4-hydroxy-2-nonenal","4-hydroxy-2-nonenal",1.82685,1.82685,1.82685,9.68134e-07,5.89521e-05,1,1,"LINCS L1000",7.72666338995604,"Upregula NQO1"
"cadmium","Cadmium",0.158159,0.158159,0.158159,3.35224e-06,6.18605e-05,1,1,"CREEDS",0.665625843964492,"Upregula NQO1"
"bo2-inhibits-rad51","BO2-inhibits-RAD51",0.891983166666667,1.09033,1.76869,1.09766e-07,6.26737e-05,6,1,"LINCS L1000",3.81837922924977,"Upregula NQO1"
"brd-k55896799","BRD-K55896799",-0.749398,-0.749398,0.749398,4.78966e-08,6.27389e-05,1,1,"LINCS L1000",3.14931744225039,"Downregula NQO1"
"bci-hydrochloride","BCI-hydrochloride",0.58514825,0.9715015,2.15064,2.25651e-06,6.30234e-05,4,1,"LINCS L1000",9.03375938673207,"Upregula NQO1"
"brd-k08307026","BRD-K08307026",-1.2304,-1.2304,1.43396,8.85329e-06,6.45742e-05,2,1,"LINCS L1000",6.00820774693138,"Downregula NQO1"
"brd-a57107094","BRD-A57107094",2.02968,2.02968,2.02968,2.27011e-06,6.46429e-05,1,1,"LINCS L1000",8.50330207880853,"Upregula NQO1"
"lovastatin","lovastatin",1.3948025,1.162635,2.17713,6.20937e-06,6.69914e-05,4,1,"LINCS L1000",4.77027586410444,"Upregula NQO1"
"entinostat","entinostat",0.682033666666667,0.748991,2.44778,2.99469e-06,7.02695e-05,6,1,"LINCS L1000",10.1662010072486,"Upregula NQO1"
"brd-k73125384","BRD-K73125384",1.962625,1.962625,2.08655,1.5048e-07,7.12953e-05,2,1,"LINCS L1000",8.65279577743418,"Upregula NQO1"
"2,3-dimethoxy-1,4-naphtoquinone (dmnq)","2,3-dimethoxy-1,4-naphtoquinone (dmnq)",1.947225,1.947225,1.94889,4.70295e-08,7.25195e-05,2,1,"CREEDS",8.05373355716253,"Upregula NQO1"
"bexarotene","Bexarotene",0.26088705,0.26088705,0.58679,2.41417e-06,7.30049e-05,2,1,"CREEDS",2.42734367380824,"Upregula NQO1"
"pik-90","PIK-90",-1.18644766666667,-1.301495,1.64089,4.38531e-06,7.42602e-05,6,1,"LINCS L1000",6.37303372036804,"Downregula NQO1"
"brd-k16180117","BRD-K16180117",1.9589,1.9589,1.9589,7.06252e-06,7.48184e-05,1,1,"LINCS L1000",8.08240491287003,"Upregula NQO1"
"kin001-244","KIN001-244",-0.0699983333333333,0.758995,2.26037,3.20904e-07,7.60201e-05,3,1,"LINCS L1000",9.31062578986083,"Upregula NQO1"
"cp466722","CP466722",-1.25987,-1.2704,1.36605,1.9586e-06,7.76051e-05,3,1,"LINCS L1000",5.61461540640642,"Downregula NQO1"
"zileuton","zileuton",1.07643,1.07643,1.07643,9.91821e-06,7.80143e-05,1,1,"LINCS L1000",4.42178690861964,"Upregula NQO1"
"gw-843682x","GW-843682X",-1.0869235,-1.021634,1.60388,8.68883e-06,8.02501e-05,4,1,"LINCS L1000",4.56793566428938,"Downregula NQO1"
"heregulin","Heregulin",-1.39716,-1.39716,1.39716,4.90095e-07,8.06983e-05,1,1,"CREEDS",5.7187653545692,"Downregula NQO1"
"quiflapon","quiflapon",0.684586875,0.9669675,3.12834,6.34186e-08,8.2147e-05,8,1,"LINCS L1000",12.7805461772251,"Upregula NQO1"
"st-019365","ST-019365",1.94382,1.94382,1.94382,1.56682e-07,8.7225e-05,1,1,"LINCS L1000",7.89066325391049,"Upregula NQO1"
"bisphenol a","Bisphenol a",0.20527585,0.246238,0.363564,1.19745e-05,8.78971e-05,4,1,"CREEDS",1.1484392709837,"Upregula NQO1"
"dl-pdmp","DL-PDMP",0.869518666666667,0.759349,1.26509,9.36697e-06,9.04134e-05,3,1,"LINCS L1000",5.11572944551202,"Upregula NQO1"
"4-hydroxyretinoic-acid","4-hydroxyretinoic-acid",2.32697,2.32697,2.77403,1.72664e-05,9.62904e-05,2,1,"LINCS L1000",11.1416612759965,"Upregula NQO1"
"brd-k09661167","BRD-K09661167",0.05658,0.05658,1.43096,2.88452e-06,9.63007e-05,2,1,"LINCS L1000",5.29277311872519,"Upregula NQO1"
"brd-k58191509","BRD-K58191509",-1.97473,-1.97473,1.97473,1.5017e-06,9.69616e-05,1,1,"LINCS L1000",7.92538182959489,"Downregula NQO1"
"brd-k94493764","BRD-K94493764",1.70010466666667,1.75212,2.45098,6.7718e-07,0.000100953,3,1,"LINCS L1000",9.79382385133792,"Upregula NQO1"
"brd-a18411371","BRD-A18411371",1.4782215,1.542725,1.90706,1.9825e-06,0.000101253,4,1,"LINCS L1000",7.46469425786663,"Upregula NQO1"
"spb02303","SPB02303",2.04698666666667,1.80707,2.94249,6.10161e-07,0.000103718,3,1,"LINCS L1000",11.7233093702666,"Upregula NQO1"
"proscillaridin","proscillaridin",-0.919156666666667,-1.42356,2.44483,7.91164e-06,0.000104992,3,1,"LINCS L1000",9.72759666626942,"Downregula NQO1"
"tosyl-phenylalanyl-chloromethyl-ketone","tosyl-phenylalanyl-chloromethyl-ketone",2.41438,2.41438,2.87173,7.49546e-08,0.000114281,2,1,"LINCS L1000",11.3204342331972,"Upregula NQO1"
"gsk-1070916","GSK-1070916",-0.5776685,-1.017222,1.57753,3.78084e-06,0.000115331,4,1,"LINCS L1000",6.21239823562856,"Downregula NQO1"
"hy-11007","HY-11007",-1.055203,-1.07109,1.71708,2.87839e-06,0.000115488,5,1,"LINCS L1000",6.76093920777972,"Downregula NQO1"
"brd-k05562558","BRD-K05562558",1.517563,1.517563,2.12789,9.94908e-08,0.000116603,2,1,"LINCS L1000",8.36960904489384,"Upregula NQO1"
"irinotecan","irinotecan",-0.331005,-0.331005,1.78217,1.93898e-06,0.000117329,2,1,"LINCS L1000",7.00498783321305,"Downregula NQO1"
"brd-k89692698","BRD-K89692698",-1.21609,-1.21609,1.27596,1.69283e-05,0.000118058,2,1,"LINCS L1000",4.54152183159096,"Downregula NQO1"
"brd-k81795824","BRD-K81795824",-1.0492585,-1.0492585,1.3966,1.62593e-05,0.000118321,2,1,"LINCS L1000",5.48436184615347,"Downregula NQO1"
"ellipticine","ellipticine",-1.08417983333333,-1.140035,2.51557,4.83426e-06,0.000120818,6,1,"LINCS L1000",7.12285760905893,"Downregula NQO1"
"thapsigargin","thapsigargin",1.28695,1.28695,1.28695,8.6441e-06,0.000121719,1,1,"LINCS L1000",5.0379480384034,"Upregula NQO1"
"podophyllotoxin","podophyllotoxin",-1.59678433333333,-1.75507,2.04006,1.07733e-06,0.000123154,3,1,"LINCS L1000",7.97571958792073,"Downregula NQO1"
"androstanolone","Androstanolone",-0.635853,-0.635853,0.635853,5.74295e-06,0.000124853,1,1,"CREEDS",2.48211641800154,"Downregula NQO1"
"k784-3188","K784-3188",1.533713,1.557,2.3209,1.1951e-06,0.000127944,6,1,"LINCS L1000",6.89703103338823,"Upregula NQO1"
"ochratoxin-a","ochratoxin-a",-1.887375,-1.887375,2.31241,2.14763e-05,0.000129183,2,1,"LINCS L1000",8.99248759986581,"Downregula NQO1"
"tubastatin-a","tubastatin-a",1.097873,1.19598,2.386,2.54505e-05,0.000129895,8,1,"LINCS L1000",7.1972742992219,"Upregula NQO1"
"emf-sumo1-3","EMF-sumo1-3",1.26385,1.08767,1.63929,2.55644e-07,0.000132388,3,1,"LINCS L1000",4.21814891009003,"Upregula NQO1"
"brd-k89784888","BRD-K89784888",-1.61432,-1.61432,1.61432,9.77407e-06,0.000134526,1,1,"LINCS L1000",6.24934552830108,"Downregula NQO1"
"brd-k55116708","BRD-K55116708",0.178848,0.178848,1.1976,2.48473e-05,0.000137671,2,1,"LINCS L1000",3.24300165659016,"Upregula NQO1"
"cilomilast","cilomilast",1.94876,1.94876,1.94876,3.33681e-06,0.000138627,1,1,"LINCS L1000",7.51861263283075,"Upregula NQO1"
"artesunate","artesunate",-1.02246033333333,-1.09828,1.31764,1.09179e-05,0.000139805,3,1,"LINCS L1000",4.23329532482804,"Downregula NQO1"
"brd-a68274214","BRD-A68274214",1.84832,1.84832,1.84832,9.9867e-06,0.000140928,1,1,"LINCS L1000",7.11788533149858,"Upregula NQO1"
"brd-k59036917","BRD-K59036917",-0.880857,-0.880857,0.880857,1.79496e-05,0.000142598,1,1,"LINCS L1000",3.38767610252667,"Downregula NQO1"
"brd-k86574132","BRD-K86574132",1.20789588888889,1.21075,1.88344,4.93081e-06,0.000146204,9,1,"LINCS L1000",7.22306914140079,"Upregula NQO1"
"gw-405833","GW-405833",1.35453,1.3555,1.82801,1.7256e-05,0.000146917,5,1,"LINCS L1000",5.25827886456614,"Upregula NQO1"
"purmorphamine","purmorphamine",0.054325,0.054325,1.18129,7.31413e-06,0.000152358,2,1,"LINCS L1000",4.09441140423932,"Upregula NQO1"
