"entrez_id","symbol","description"
"5210","PFKFB4","PFKFB4; 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [KO:K19030] [EC:2.7.1.105 3.1.3.46]"
"5211","PFKL","PFKL; phosphofructokinase, liver type [KO:K00850] [EC:2.7.1.11]"
"5213","PFKM","PFKM; phosphofructokinase, muscle [KO:K00850] [EC:2.7.1.11]"
"5214","PFKP","PFKP; phosphofructokinase, platelet [KO:K00850] [EC:2.7.1.11]"
"5290","PIK3CA","PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [KO:K00922] [EC:2.7.1.153]"
"5291","PIK3CB","PIK3CB; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [KO:K00922] [EC:2.7.1.153]"
"5293","PIK3CD","PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [KO:K00922] [EC:2.7.1.153]"
"5295","PIK3R1","PIK3R1; phosphoinositide-3-kinase regulatory subunit 1 [KO:K02649]"
"5296","PIK3R2","PIK3R2; phosphoinositide-3-kinase regulatory subunit 2 [KO:K02649]"
"53632","PRKAG3","PRKAG3; protein kinase AMP-activated non-catalytic subunit gamma 3 [KO:K07200]"
"5468","PPARG","PPARG; peroxisome proliferator activated receptor gamma [KO:K08530]"
"55012","PPP2R3C","PPP2R3C; protein phosphatase 2 regulatory subunit B''gamma [KO:K11583]"
"5515","PPP2CA","PPP2CA; protein phosphatase 2 catalytic subunit alpha [KO:K04382] [EC:3.1.3.16]"
"5516","PPP2CB","PPP2CB; protein phosphatase 2 catalytic subunit beta [KO:K04382] [EC:3.1.3.16]"
"5518","PPP2R1A","PPP2R1A; protein phosphatase 2 scaffold subunit Aalpha [KO:K03456]"
"5519","PPP2R1B","PPP2R1B; protein phosphatase 2 scaffold subunit Abeta [KO:K03456]"
"5520","PPP2R2A","PPP2R2A; protein phosphatase 2 regulatory subunit Balpha [KO:K04354]"
"5521","PPP2R2B","PPP2R2B; protein phosphatase 2 regulatory subunit Bbeta [KO:K04354]"
"5522","PPP2R2C","PPP2R2C; protein phosphatase 2 regulatory subunit Bgamma [KO:K04354]"
"5523","PPP2R3A","PPP2R3A; protein phosphatase 2 regulatory subunit B''alpha [KO:K11583]"
"5525","PPP2R5A","PPP2R5A; protein phosphatase 2 regulatory subunit B'alpha [KO:K11584]"
"5526","PPP2R5B","PPP2R5B; protein phosphatase 2 regulatory subunit B'beta [KO:K11584]"
"5527","PPP2R5C","PPP2R5C; protein phosphatase 2 regulatory subunit B'gamma [KO:K11584]"
"5528","PPP2R5D","PPP2R5D; protein phosphatase 2 regulatory subunit B'delta [KO:K11584]"
"5529","PPP2R5E","PPP2R5E; protein phosphatase 2 regulatory subunit B'epsilon [KO:K11584]"
"55437","STRADB","STRADB; STE20 related adaptor beta [KO:K17532]"
"5562","PRKAA1","PRKAA1; protein kinase AMP-activated catalytic subunit alpha 1 [KO:K07198] [EC:2.7.11.31]"
"5563","PRKAA2","PRKAA2; protein kinase AMP-activated catalytic subunit alpha 2 [KO:K07198] [EC:2.7.11.31]"
"5564","PRKAB1","PRKAB1; protein kinase AMP-activated non-catalytic subunit beta 1 [KO:K07199]"
"5565","PRKAB2","PRKAB2; protein kinase AMP-activated non-catalytic subunit beta 2 [KO:K07199]"
"5571","PRKAG1","PRKAG1; protein kinase AMP-activated non-catalytic subunit gamma 1 [KO:K07200]"
"55844","PPP2R2D","PPP2R2D; protein phosphatase 2 regulatory subunit Bdelta [KO:K04354]"
"57521","RPTOR","RPTOR; regulatory associated protein of MTOR complex 1 [KO:K07204]"
"57818","G6PC2","G6PC2; glucose-6-phosphatase catalytic subunit 2 [KO:K01084] [EC:3.1.3.9]"
"5862","RAB2A","RAB2A; RAB2A, member RAS oncogene family [KO:K07877]"
"595","CCND1","CCND1; cyclin D1 [KO:K04503]"
"6009","RHEB","RHEB; Ras homolog, mTORC1 binding [KO:K07208]"
"6198","RPS6KB1","RPS6KB1; ribosomal protein S6 kinase B1 [KO:K04688] [EC:2.7.11.1]"
"6199","RPS6KB2","RPS6KB2; ribosomal protein S6 kinase B2 [KO:K04688] [EC:2.7.11.1]"
"6319","SCD","SCD; stearoyl-CoA desaturase [KO:K00507] [EC:1.14.19.1]"
"64764","CREB3L2","CREB3L2; cAMP responsive element binding protein 3 like 2 [KO:K09048]"
