"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_SULFUR_METABOLISM",0.269953051643192,0.573650234741784,0.126875729929857,0.5431390142569,1.19190155036454,13,"CHST12/SULT1A2/CHST11/SUOX/CHST13/SULT1A1"
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.286089238845144,0.581210266070167,0.130777137971974,0.364098696731255,1.08357807350647,52,"ODC1/PYCR2/ALDH9A1/ALDH4A1/AOC1/ALDH2/OAT/ACY1/NOS3/GOT2/GAMT"
"KEGG_ENDOCYTOSIS",0.283072546230441,0.581210266070167,0.0916795246008379,-0.331414197893671,-1.08179435583032,178,"AGAP1/PARD3/CHMP3/SH3KBP1/PIP5K1B/GIT1/EPN3/RUFY1/TFRC/AP2S1/USP8/EPS15/STAM2/EPN2/TSG101/ARFGAP3/PDCD6IP/RAB11FIP4/CBLB/SH3GLB1/KDR/IQSEC1/PRKCZ/PLD1/WWP1/FGFR4/DNM1L/GRK1/DNM2/VPS37B/EGF/PIP4K2B/ARRB1/SMURF2/EEA1/RABEP1/PSD3/GIT2/ASAP3/TRAF6/ADRB2/RNF41/ARAP2/NEDD4/ITCH"
"KEGG_GNRH_SIGNALING_PATHWAY",0.289051094890511,0.581210266070167,0.0919686140000427,-0.357987086704375,-1.10145154079777,100,"ADCY9/SOS1/MAP2K2/PLA2G2A/MAPK9/PLA2G12A/PLA2G12B/PRKCD/CGA/GRB2/PLD1/MAPK1"
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.286173633440514,0.581210266070167,0.0982123351217438,-0.417817815342589,-1.13523569392255,46,"RPN1/MAN2A2/DPAGT1/B4GALT3/ALG5/ALG3/RFT1/ALG2/ST6GAL1/STT3B/MAN1A2"
"KEGG_O_GLYCAN_BIOSYNTHESIS",0.283806343906511,0.581210266070167,0.100990587455923,-0.448356606570463,-1.14093028008329,29,"GALNT1/ST3GAL2/GCNT3/GCNT1/ST3GAL1/GALNT9/GALNT15/GALNTL6/B4GALT5"
"KEGG_ABC_TRANSPORTERS",0.317434210526316,0.584619757075331,0.0934449219410994,-0.412670490304604,-1.10797455348003,44,"ABCB6/ABCG8/CFTR/ABCC9/ABCC2/ABCG5/ABCA8/ABCD2/TAP2/ABCA9/ABCB7/ABCB1/ABCB9/ABCA1/ABCG1"
"KEGG_ASTHMA",0.334963325183374,0.584619757075331,0.114750719227023,0.419862892388755,1.08825458064908,27,"HLA-DRA/HLA-DQA1/HLA-DRB1/HLA-DPB1/HLA-DQB1/HLA-DPA1/FCER1A/TNF/HLA-DMA/IL13/HLA-DRB5/MS4A2"
"KEGG_BASE_EXCISION_REPAIR",0.304201680672269,0.584619757075331,0.0972150808846466,-0.428287455102896,-1.11734620825505,34,"NEIL3/PARP1/PCNA/MBD4/HMGB1/LIG3/PARP4/POLD2/XRCC1/POLE/APEX1/POLE3/POLD4"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.300275482093664,0.584619757075331,0.130777137971974,0.335169548666792,1.06010764342728,70,"ALDH3B2/GSTO1/MGST3/GSTM5/GSTM2/ALDH3B1/FMO4/GSTP1/ADH5/CYP3A5/CYP2D6/MGST2/GSTZ1/GSTM1/GSTO2/GSTK1/GSTT1"
"KEGG_GLUTATHIONE_METABOLISM",0.337641357027464,0.584619757075331,0.0888945288620449,-0.392706720801031,-1.08067617036432,49,"PGD/IDH1/MGST1/GGCT/GCLC/GSTM4/GCLM/GSR/GPX3/IDH2/RRM2B/ANPEP/GSTM3/G6PD/RRM2/OPLAH/GSTT2"
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.300168634064081,0.584619757075331,0.0982123351217438,-0.440622265863606,-1.13021733326799,31,"CHDH/GNMT/DMGDH/SHMT1/CBS"
