"sample","AMPK_score","group"
"NF10",0.0290364487950603,"CTRL"
"NF11",0.156761635954554,"CTRL"
"NF12",0.0854132746232699,"CTRL"
"NF13",-0.118727348155072,"CTRL"
"NF14",-0.1232997894952,"CTRL"
"NF1",0.215703373198339,"CTRL"
"NF3",-0.167007373810931,"CTRL"
"NF5",-0.0443196806409145,"CTRL"
"NF7",0.123546176796703,"CTRL"
"NF15",0.158599669104187,"CTRL"
"NF2",-0.00751426700453955,"CTRL"
"NF4",0.0815890391310796,"CTRL"
"NF6",0.0779848698110668,"CTRL"
"NF8",0.121089972275419,"CTRL"
"DCM8",-0.152451507971194,"DCM"
"DCM14",-0.116079190877339,"DCM"
"DCM12",0.0457461654426539,"DCM"
"DCM13",-0.110198076628689,"DCM"
"DCM11",-0.277099357131152,"DCM"
"DCM17",0.165540140827205,"DCM"
"DCM16",-0.116480090194641,"DCM"
"DCM18",-0.00410462690348795,"DCM"
"DCM19",-0.0470370996232586,"DCM"
"DCM21",-0.0300691755893178,"DCM"
"DCM20",-0.183778618836367,"DCM"
"DCM22",0.0555104661836143,"DCM"
"DCM24",-0.174734093904198,"DCM"
"DCM26",-0.00488408184557107,"DCM"
"DCM28",0.0980572686823736,"DCM"
"DCM29",-0.292983685043881,"DCM"
"DCM2",-0.107986033945221,"DCM"
"DCM31",-0.336667914576972,"DCM"
"DCM32",-0.196314693669731,"DCM"
"DCM33",-0.139967241463169,"DCM"
"DCM34",-0.104351931427276,"DCM"
"DCM35",0.155363608057622,"DCM"
"DCM38",0.0341420791447928,"DCM"
"DCM39",0.0234067044569731,"DCM"
"DCM3",-0.234877537960913,"DCM"
"DCM43",0.160501508892519,"DCM"
"DCM44",0.0347957187499167,"DCM"
"DCM46",-0.0905997672090681,"DCM"
"DCM4",-0.0085547402421034,"DCM"
"DCM6",-0.0525423480352064,"DCM"
"DCM72",-0.125608684049859,"DCM"
"DCM73",-0.125273460595459,"DCM"
"DCM74",-0.0706194209105652,"DCM"
"DCM75",-0.171912911580862,"DCM"
"DCM76",-0.147043179726169,"DCM"
"DCM77",-0.37807734231472,"DCM"
"DCM78",0.0363887896960333,"DCM"
