"gene","log2FoldChange","AveExpr","t","pvalue","padj","B","direction","significant","neg_log10_padj","description"
"PPP2R1A",0.694647722115826,8.73334795835654,11.0993967900531,3.26601940380454e-15,2.27761306489983e-11,24.2830793475722,"up",FALSE,10.6425200546433,"PPP2R1A; protein phosphatase 2 scaffold subunit Aalpha [KO:K03456]"
"RAB11B",0.524055912902694,7.06718601380657,8.3992904798752,3.46849881738306e-11,1.17653940585256e-08,15.3483005858814,"up",FALSE,7.92939352241255,"RAB11B; RAB11B, member RAS oncogene family [KO:K07905]"
"PIK3CB",-0.621729489114766,4.75313325105068,-7.41744132789165,1.19343596565473e-09,1.57526017901972e-07,11.9199575613797,"down",FALSE,6.80264770537872,"PIK3CB; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [KO:K00922] [EC:2.7.1.153]"
"PPARG",-0.617713009248493,3.48714629936764,-6.94016295737608,6.76388470624715e-09,5.78761684823708e-07,10.2383527083395,"down",FALSE,6.23750022776106,"PPARG; peroxisome proliferator activated receptor gamma [KO:K08530]"
"PRKAB1",0.582137056311803,4.03255095450981,6.69752080171511,1.63517375183263e-08,1.12346371304074e-06,9.38288725470331,"up",FALSE,5.94944095037496,"PRKAB1; protein kinase AMP-activated non-catalytic subunit beta 1 [KO:K07199]"
"STRADB",-0.540875544774746,5.37425634412221,-6.26098550491653,7.98099026062773e-08,3.86058490734319e-06,7.84751280851372,"down",FALSE,5.41334689149729,"STRADB; STE20 related adaptor beta [KO:K17532]"
"CREB1",-0.606973397588558,3.5788070916721,-5.90744780902287,2.86239375896989e-07,1.07608517217267e-05,6.61204652833905,"down",FALSE,4.96815335288832,"CREB1; cAMP responsive element binding protein 1 [KO:K05870]"
"CFTR",-0.539684631611823,0.222577865261297,-5.75938655249345,4.87274723772903e-07,1.63152091685757e-05,6.09797581164363,"down",FALSE,4.78740735398301,"CFTR; CF transmembrane conductance regulator [KO:K05031] [EC:5.6.1.6]"
"CREB5",1.63032394810081,3.43222110672737,5.72518827521229,5.50819430046752e-07,1.80781373787357e-05,5.97958286506883,"up",TRUE,4.74284631765535,"CREB5; cAMP responsive element binding protein 5 [KO:K09047]"
"PPP2R2C",-1.18592515668458,1.91864474001346,-5.50452976346296,1.21101751997234e-06,3.38486273017251e-05,5.21923517240502,"down",TRUE,4.47045893901353,"PPP2R2C; protein phosphatase 2 regulatory subunit Bgamma [KO:K04354]"
"SREBF1",-0.808494135013357,4.84101383228234,-5.13012783191556,4.54095873199914e-06,9.74373309047734e-05,3.94625662518764,"down",FALSE,4.01127462115214,"SREBF1; sterol regulatory element binding transcription factor 1 [KO:K07197]"
"RHEB",-0.397967371483624,6.46278199946678,-4.92660851939375,9.22308886343512e-06,0.000170984707232544,3.26549544042783,"down",FALSE,3.76704273090328,"RHEB; Ras homolog, mTORC1 binding [KO:K07208]"
"TSC2",0.30972041122444,5.85994477468621,4.82472111303787,1.31098686958661e-05,0.00022695205873911,2.92817341853198,"up",FALSE,3.64406587330897,"TSC2; TSC complex subunit 2 [KO:K07207]"
"RAB10",-0.378615103334901,5.99976827742942,-4.81091880461817,1.37471732099456e-05,0.000235548411732409,2.88266967431017,"down",FALSE,3.62791981979839,"RAB10; RAB10, member RAS oncogene family [KO:K07903]"
"RAB14",-0.302958391333044,5.42128366262112,-4.71191145968171,1.92997164465236e-05,0.000310911181406365,2.55766676627298,"down",FALSE,3.50736365899327,"RAB14; RAB14, member RAS oncogene family [KO:K07881]"
